KIC	teff	teff_e	feh	feh_e	Porb	Porb_e	e	e_e	logg	logg_e	Pspin	Pspin_e	q
9896435	4848.0	173.0	0.06	0.25	18.077	0.0002024	0.0086	0.1	4.55	0.065	25.894	5.4140000000000015	0.5516
9963461	6168.0	219.0	-0.24	0.3	10.582	0.0000329	0.0222	0.01	4.074	0.336	3.906	0.12299999999999978	0.2912
10287248	3801.0	57.0	-0.14	0.1	4.722	0.0000103	0.0279	0.01	4.776	0.025	2.919	0.05699999999999994	0.3492
10711551	6022.0	162.0	-0.2	0.3	10.692	0.0000336	0.053	0.01	4.49	0.054	10.692	0.31599999999999895	0.8791
10987439	6496.0	77.0	0.1	0.15	10.675	0.0000322	0.046	0.01	4.212	0.095	13.327	1.3510000000000009	0.9089
11073223	6028.0	163.0	-0.56	0.3	11.579	0.0000359	0.019	0.01	4.355	0.158	6.752	0.21499999999999986	0.7276
11858541	5594.0	149.0	-0.16	0.3	5.674	0.0000900	0.056	0.01	4.303	0.242	5.493	0.17899999999999938	0.5854
11867071	6617.0	186.0	-0.16	0.25	3.964	0.0000129	0.074	0.01	4.373	0.072	3.885	0.15800000000000036	0.4428
12013615	6060.0	184.0	-0.02	0.25	8.203	0.0001952	0.011	0.01	4.059	0.329	9.361	0.20399999999999885	0.9018
12367310	5146.0	183.0	0.28	0.15	8.627	0.0000297	0.059	0.01	3.475	0.872	8.441	0.33399999999999963	0.4007
12418662	5461.0	164.0	-0.1	0.3	2.752	0.0000236	0.003	0.1	4.497	0.074	2.735	0.018000000000000238	0.4335
