Iteration_step	age	teff_primary	feh	Pdisk	logQ	
3	4.908903130859387	5609.489127892816	-0.1821182633700667	4.446841220367337	8.44718290274519	7.6591039216634185	381.59490728378296
4	5.636430505497983	5554.461894961201	-0.2156785877216622	4.504321394049514	8.415248849048949	7.817043892725287	446.06727862358093
8	3.9435052987987045	5609.63953159111	-0.12861948796886458	4.586307028924215	8.50732994190081	7.847431687138032	325.7014012336731
15	3.170162721897168	5636.173740302139	-0.05368689043780407	4.502975328238814	8.49444437305768	7.350455012717774	268.7523536682129
18	4.844015242718582	5542.61354474352	0.06541172024392485	4.46930377731113	8.574352398718192	7.36483337912749	373.9625332355499
39	3.9882314247334976	5573.644178428775	0.07165853122117685	4.404752808346363	8.66916225517942	7.864795047703627	303.5585095882416
51	4.994239740860919	5471.48356972359	-0.06313859641948807	4.366218055367533	8.471407487340036	7.772944135016243	413.667845249176
53	5.66373717125987	5619.900316423846	-0.10499877130041534	4.444097350848966	8.50269623431033	7.414055288345473	469.8720726966858
55	4.060164112996028	5706.958412514154	-0.16108360464472732	4.470199830832827	8.520355959719911	7.633917545625431	310.9811804294586
73	5.99602520729092	5703.103904632621	-0.1184206586432476	4.469628621093917	8.615273805035937	7.655103390202439	518.9185366630554
80	5.665936598067253	5790.02063237893	-0.1572739592248817	4.385109406890591	8.592830736420733	7.323583873849908	501.5608866214752
82	4.399938331433843	5866.130128524426	-0.02318996592523581	4.408807419155333	8.732723947413543	7.1153678543301675	362.7031488418579
83	4.224144730723043	5785.074399400661	-0.12973110137781843	4.3815620684082575	8.644852608846314	7.778758489398309	346.6623070240021
87	7.270828719208168	5853.843321862692	-0.23688974347495528	4.516107865922089	8.62555815834637	7.24065362181357	608.9293131828308
107	4.82221563857762	5786.588232086081	-0.13733564250657043	4.548700762688302	8.700158078006666	8.040132758493042	397.68459033966064
126	6.076481493414185	5959.674104184163	-0.15030397362326942	4.554852852084699	8.866226496668109	7.564478367446074	441.6527199745178
160	2.7989755794399245	6181.466531113141	-0.09903802971791689	4.46168542627137	8.90174048365098	7.172540032915889	205.4876925945282
168	3.913923727212437	6161.015345496789	-0.24229540948509315	4.337423553052381	8.89269183737673	7.785107164294155	305.84680247306824
169	5.091331601467591	6021.745655438423	-0.025922815142927103	4.379588225018485	8.97431094924655	7.079705487059822	389.3684310913086
185	4.6929380005289625	5932.929686710826	-0.1596610292330114	4.5542398195157725	8.87984041006144	8.439886833431522	378.0226550102234
186	6.784193618349941	5888.897787289149	-0.16886634761424146	4.531707857435807	8.70472889326457	7.089734119525847	600.1888177394867
187	7.051362354767317	5854.747437864078	-0.15531228127797914	4.681573399084067	8.733005732129445	7.329602171933719	614.3490641117096
195	8.910378255288766	5719.975542357912	-0.15791698978819274	4.666957195088632	8.76592699813149	8.101134865708431	829.0168566703796
212	5.903935772533554	5705.051459036087	-0.08483961768683246	4.629186636983789	8.751904716318258	8.29308899269407	602.9127078056335
213	7.308190056408785	5846.532928394907	-0.24808573736044143	4.507010152086283	8.710263110739303	7.863030627370153	771.036470413208
224	6.797221182875667	5972.47651525255	-0.1906674791596143	4.543523812892977	8.951906425502282	8.009681805489402	611.6134703159332
226	5.873531688949694	5977.561056313616	-0.19646042021688137	4.56905947506412	8.773467600879233	7.308912132143228	512.7493035793304
230	2.325605003226161	5980.649831779096	-0.2040661672635661	4.580123654896705	8.705877759278534	7.949777450271991	236.07022166252136
231	2.046421962819102	6010.204789391112	-0.08262426789417188	4.526690566328838	8.778986119890414	7.554090100727191	228.1252465248108
234	3.462110227955262	6022.2647321888	-0.14435761997566263	4.550272306981571	8.789228121396716	7.559044243381718	322.08777141571045
239	4.3302791413983766	5914.354402576418	-0.041180885623933974	4.51777433619137	8.912391374936293	8.015611789886563	378.8335540294647
247	4.697546072580173	5858.136493727039	-0.022267666013062445	4.54995803288124	8.821319902415704	7.58755197454826	401.73721528053284
252	4.78428801856607	5869.233082288938	0.09312221569055408	4.592357925547087	9.043190714521517	7.981994077998629	428.1319134235382
255	4.537524920564947	5818.020839642121	0.0062423617220242755	4.652073814776706	8.77685105436447	7.437412385734867	399.4874014854431
261	5.493245716243386	5806.7353009558565	0.03638320310763425	4.686830538026611	8.817670830062996	7.26511884242316	447.9490284919739
263	4.4557694473881275	5936.3375860184715	0.07313754787702564	4.593843985282096	9.099034142712554	8.08685976804784	382.92301201820374
265	4.205842559913409	5897.03880948865	0.0770020712057619	4.610168566023585	8.959836864527475	7.603843206257136	357.80510354042053
269	4.833909085421761	5958.916766309309	-0.03749275245433013	4.522260042063753	8.882932921122766	7.292805624726786	392.0632562637329
270	3.154806885729025	5941.758965397221	-0.04916525554506471	4.5270289565932655	8.880771869557472	8.0646095674707	286.0529987812042
271	0.9422450247012195	5923.944441445407	-0.1548626231934929	4.51163009902698	8.75283979193612	7.732972878544625	87.72348475456238
273	2.8883073599458604	5949.5511323669525	-0.17297213870200276	4.349918311781742	8.785801203112511	8.308726603129607	239.36307430267334
274	1.8677508183316247	5885.700987612884	-0.0630212402652638	4.396848175149222	8.646351094044203	7.334662150399839	170.59349632263184
276	3.3503092594276653	5923.258932936597	0.09542428606357155	4.445684107045641	8.943716877158458	7.522447634610546	286.8012156486511
289	2.234237361777338	5974.118952819378	-0.014491179566447854	4.536499131359343	8.747760124525602	7.114409062822113	190.2472174167633
290	3.359928734057201	5970.1088900592695	-0.050311252997977965	4.445235880397379	8.875022767174224	7.795785405802057	270.65706419944763
292	3.5864802698638747	5944.117554794779	-0.11519307098685137	4.455896996970514	8.773993096178616	7.711652026524054	294.33798837661743
293	4.329159554968115	5867.3221044681295	0.06454401277569079	4.523325345637991	8.880627382158298	7.385842524480185	345.9248685836792
298	4.047464725396661	5961.944282252588	0.032266100732032725	4.615378562231924	9.02956754343917	7.9507856076595065	312.5908682346344
301	5.9406410613523715	5855.379446421447	-0.06038179288866897	4.56610430398728	8.906483768073286	8.004279290396003	463.84137082099915
304	5.4073129201639825	5898.635215112337	-0.04552923083103998	4.440200263916943	8.964444187997902	8.104121001444032	425.9512155056
311	7.912802098983248	5799.862777984263	-0.02663339616675707	4.356673123023786	8.924956923337707	7.5478586166637855	627.7726664543152
330	4.2932469605175125	5769.977671974094	-0.10730969400882039	4.411371987220212	8.5286922520064	7.042624777479763	421.46895146369934
337	7.298025359972353	5658.676792086437	-0.05381547337869659	4.37238732132282	8.699347067456337	7.749946828632831	649.6319696903229
344	6.666441684103117	5754.6924241741945	-0.18320382218075365	4.423904538552751	8.657881361617465	7.8827057100572056	693.6760218143463
357	5.134016268136816	5858.98854185447	-0.08855376756386696	4.341834891680691	8.843262695372479	8.061097616917026	482.818692445755
372	3.006039504127333	5831.427396903094	-0.009384611909498047	4.427722476513443	8.753698792107484	7.694493586324877	256.8866286277771
380	1.8153464071689058	5862.7082356997	-0.055093841559436585	4.399234015826131	8.738304695271298	7.943534873450732	185.22242712974548
390	0.98367488341016	5888.531377335909	-0.10758477814214382	4.379804463762237	8.76992104368197	7.832659070147285	93.61563563346863
402	1.6029537795085245	5892.937692392345	-0.002456780068477729	4.464980937827932	8.647449343170733	7.007114215757222	145.71653604507446
409	3.7283205515931375	5834.265890728124	-0.0953699087440767	4.307153118398622	8.656442803901507	7.47515989684275	299.09332823753357
421	2.203639805716679	5842.203630716773	-0.07848784890248191	4.415065793534347	8.692955239375888	7.852962005615512	200.69483280181885
428	2.06563452735702	5762.203574259047	-0.10345898624197872	4.359396886879738	8.62651716104822	7.999825435346887	178.88573026657104
433	2.4792473808646585	5747.605430738398	-0.12930654130644154	4.404535025950909	8.469774123791998	7.218363074376045	203.93933272361755
436	2.7236432674410596	5759.160482883374	-0.13846060075726746	4.516136014059471	8.475086605346652	7.209198747967263	223.4923141002655
454	3.31925426325978	5724.559500067784	-0.10224465063839595	4.533350647398762	8.506410299438757	7.261945946711881	272.0157663822174
463	6.423954659913287	5686.797301203763	-0.15450940081422748	4.517545452389317	8.590012142963184	7.745613832837337	552.8925108909607
473	5.896084400953742	5707.07567389887	-0.08363717994331273	4.543089207955874	8.74264866025532	8.213438883269955	511.79756212234497
477	6.0733505354709205	5730.9457080378215	0.011400538686547682	4.479549367661754	8.799699718969103	7.70056484606578	492.20033025741577
480	7.548763492281934	5803.004923268957	-0.03653417529908627	4.561715702618617	8.926677549009307	7.781936401202473	687.8278527259827
544	6.177535307660509	5880.6756852564085	-0.04438391149885691	4.517525608834543	8.87642987473378	7.39713965092255	511.476863861084
551	4.564475977544367	5774.660558181233	-0.11526533536274781	4.601472094827925	8.723727429022702	8.17138190972766	381.28054571151733
553	7.313249376672948	5813.820811758049	-0.11812204480023292	4.606242853868776	8.854166196114615	8.020725482268453	645.1893606185913
561	4.614524604806895	5815.588406004465	-0.17023845149403136	4.5913190996456015	8.742608534127305	8.400006277400747	440.44852662086487
562	5.329755400001549	5775.5480914929485	-0.22528339074386738	4.596136671104183	8.630453674728876	8.122830771895531	489.4118778705597
564	5.1825014891572145	5784.211148083354	-0.28199594402801353	4.479130001423669	8.563547148286897	8.02386794433943	470.17827916145325
573	1.9003549738257028	5851.59097695184	-0.21571535634548514	4.498753221766276	8.577822904870684	7.932594147514015	188.77541613578796
578	1.1171230506911405	5865.65927132153	-0.1340418225678267	4.518248205884607	8.71085171026296	8.023522786751016	131.69613409042358
590	4.225145586900977	5876.12893154342	-0.16280260508949376	4.4218617701486895	8.811427178639516	8.523230939171814	331.49608397483826
