Step	Time_elapsed
1	0.0
2	1582680270.0624053
3	1499.0464367866516
4	1796.7097108364105
5	1401.729619026184
6	2422.277466058731
7	1671.2192409038544
8	1638.635532617569
9	1206.755661725998
10	1206.755661725998
11	1678.4209625720978
12	1389.1213026046753
13	1190.229876756668
14	1822.99711728096
15	1549.5690851211548
16	1429.978970527649
17	1475.3819761276245
18	1292.766788482666
19	1463.7437467575073
20	1361.461486339569
21	1351.5468487739563
22	1370.6984107494354
23	1421.9706432819366
24	1139.9235846996307
25	1280.2595918178558
26	1615.2912425994873
27	1172.2650339603424
28	1797.7743299007416
29	1797.7743299007416
30	2577.5191037654877
31	1620.704919576645
32	1517.7568981647491
33	1548.952133655548
34	1644.9697570800781
35	1367.76495718956
36	1880.1803770065308
37	1860.3633642196655
38	1774.3904502391815
39	1411.6038753986359
40	1606.6670970916748
41	1429.9523293972015
42	1468.297709941864
43	2629.6911861896515
44	1708.4057307243347
45	1309.6584351062775
46	1445.5193376541138
47	1417.852010011673
48	1927.4761278629303
49	2242.278702020645
50	2786.627110481262
51	1794.9710223674774
52	1805.5552506446838
53	2079.426341533661
54	1243.6616580486298
55	1690.943197965622
56	1448.029614686966
57	1395.2248606681824
58	1774.2786436080933
59	1883.6794352531433
60	1341.4036078453064
61	1500.0974459648132
62	2036.2926213741302
63	1739.2900235652924
64	1464.5792770385742
65	1860.4432101249695
66	1746.788595199585
67	2025.0539963245392
68	1715.8168649673462
69	1715.8168649673462
70	1666.0348682403564
71	1775.8863489627838
72	1916.8526511192322
73	1464.0244743824005
74	1506.8264656066895
75	2220.4152595996857
76	1865.7839708328247
77	2067.551570892334
78	1486.084439277649
79	1486.084439277649
80	1922.818724155426
81	1624.3087320327759
82	2201.891387939453
83	2269.4851496219635
84	2058.7951395511627
85	2824.477643251419
86	2510.494195461273
87	2025.925190448761
88	2036.3769767284393
89	1671.203238248825
90	2162.8809113502502
91	1885.387200832367
92	1885.387200832367
93	1634.534327507019
94	2864.0502395629883
95	2271.1350753307343
96	1734.1469404697418
97	1719.4233982563019
98	1661.759239435196
99	1806.8136270046234
100	2296.225132226944
101	2171.937689304352
102	2171.937689304352
103	3136.932849884033
103	1582969713.0847373
104	2523.40190410614
105	2533.3178675174713
106	2639.38303565979
107	2445.958563566208
108	1837.725732088089
109	1837.725732088089
110	2619.339796066284
111	2560.4678349494934
112	3227.188669681549
113	2308.1194779872894
114	2423.0596215724945
115	1691.3960785865784
116	2722.379539012909
117	2510.936877965927
118	2618.371666908264
119	1675.0287251472473
120	1675.0287251472473
121	13224.677162647247
122	13224.677162647247
123	3021.3685920238495
124	2350.634434938431
125	1790.4838469028473
126	2348.568535089493
127	2408.4069769382477
128	1837.5346143245697
129	1806.8888323307037
130	2505.8463463783264
131	2473.4663531780243
132	1712.6205909252167
133	5858.2535746097565
134	2183.9062905311584
135	2845.9117183685303
136	1252.8786973953247
137	2409.462156534195
138	2488.7672803401947
139	2254.452949523926
140	2254.452949523926
141	2254.452949523926
142	2529.335280895233
143	2529.335280895233
144	2529.335280895233
145	5316.076518535614
146	2473.186328649521
147	13060.20474410057
148	2246.4056663513184
149	4713.585195541382
150	4713.585195541382
151	1939.812298297882
152	1628.4900031089783
153	1750.7344994544983
154	1946.5841534137726
155	1642.423837184906
156	1775.9015536308289
157	2518.9583356380463
158	2518.9583356380463
159	2810.5302906036377
160	2810.5302906036377
161	2395.7944304943085
162	1778.5975034236908
163	1778.5975034236908
164	3234.708122253418
165	2376.478636264801
166	1692.7371113300323
167	1654.1132152080536
168	1854.5038661956787
169	1828.3627297878265
170	3243.0798523426056
171	2088.1383011341095
172	1621.708815574646
173	2395.0045018196106
174	1759.4841303825378
175	1759.4841303825378
176	2476.7562878131866
177	2010.6093134880066
