Step	Time_elapsed
1	0.0
2	1582660429.1785905
3	1930.985553741455
4	2038.3906021118164
5	2679.7198734283447
6	3461.0737297534943
7	2990.1375784873962
8	2990.1375784873962
9	3910.38018655777
10	2801.791551589966
11	2801.791551589966
12	3817.8515832424164
13	4245.615129709244
14	2829.139200925827
15	4331.160605192184
16	1934.4493548870087
17	2599.2396211624146
18	2599.2396211624146
19	3334.476993560791
20	3305.4051473140717
21	2584.947766304016
22	6975.852547645569
23	2865.620685338974
24	2865.620685338974
25	2875.7567353248596
26	3055.451378583908
27	2403.747703552246
28	2457.8921959400177
29	3631.455417394638
30	2307.68790602684
31	2933.991572380066
32	3522.4768221378326
33	2253.640768766403
34	2290.915023326874
35	2444.4534192085266
36	2537.43656539917
37	2912.289900779724
38	3396.47794508934
39	1935.513399362564
40	3942.7743396759033
41	3942.7743396759033
42	3942.7743396759033
43	2665.8621802330017
44	3138.4846489429474
45	2202.495178937912
46	2775.3292949199677
47	2272.617846250534
48	2634.9988400936127
49	2367.318542957306
50	2316.745480775833
51	2246.765758037567
52	1723.8839390277863
53	2208.626636505127
54	2071.3491563796997
55	2648.063371181488
56	1869.0221462249756
57	2122.9411630630493
58	2103.8609251976013
59	2103.8609251976013
60	1523.1684472560883
61	2263.52916264534
62	1605.555585861206
63	2120.881548643112
64	2468.6469655036926
65	2481.18359708786
66	2411.08256483078
67	5228.174561023712
68	5228.174561023712
69	6144.82693195343
70	2027.528190612793
71	2444.6982939243317
72	3174.711874961853
73	3165.0558161735535
74	4550.250723600388
75	1582863124.599382
76	2457.9106237888336
77	3335.3549103736877
78	3335.3549103736877
79	9592.2837536335
80	3312.3293421268463
81	2431.560295820236
82	2431.560295820236
83	3970.553895711899
84	2033.976331949234
85	2417.698038816452
86	2097.4408588409424
87	3681.6363451480865
88	2027.2446842193604
89	1956.1480927467346
90	2124.6834785938263
91	2111.1059515476227
92	2871.2969822883606
93	2865.452961921692
94	16789.290593147278
95	3182.23335814476
96	3014.6273226737976
97	2925.4986934661865
98	2521.975028038025
99	2790.02144241333
100	2399.1211125850677
101	2603.60249042511
102	2456.4202451705933
103	2410.9970264434814
