Iteration_step	age	teff_primary	feh	Pdisk	logQ	
1	2.1282000454798813	6308.139026625059	-0.15267306598967878	4.5872741210793695	8.912976599379842	
10	1.100653568885651	6344.418980202748	-0.16536446753355155	4.3935112777350245	9.152760331271953	
14	1.5104765968768359	6354.779274279128	-0.22847112217486815	4.3264055227728395	8.957634133356496	
16	2.1766445527325113	6337.470218259302	-0.3709262988995998	4.26166101501626	8.719945850352657	
34	1.6054376616478216	6418.301877819284	-0.18307648366126084	4.195999281458363	9.059203077115832	
44	1.1424172911403359	6473.2574016635845	-0.3150495753132877	4.229918962275455	8.999044262588324	
96	1.5201677550464525	6606.124407464034	-0.2461140387458902	4.3023724214627155	9.215966193488674	
133	2.7385644547211023	6360.247241759222	-0.14916623029234566	4.30864433723172	9.05236065370717	
150	3.703846561118962	6324.284399290266	-0.1869048262682283	4.39457611802615	9.039079058168804	
164	1.4936758213607018	6162.38357935257	-0.20478683852020982	4.343753712331664	8.737926098251496	
179	3.1575483583311086	6397.387858163441	-0.18904480470032792	4.5190026348383805	9.068247065449329	
273	2.052897732654273	6315.209253367116	-0.23731202929777173	4.456438851429474	8.853623692843374	
297	1.3356168951948098	6283.490148794504	-0.19939321439207613	4.5358129006862	8.888047838406035	
307	2.119077370745347	5990.474303268168	-0.2169447700277772	4.637212496748989	8.620990497732642	
319	1.6801145988858428	6058.673240651323	-0.27006094023594457	4.631905523056298	8.629693863045883	
349	2.4556283142474182	5978.519417591449	-0.19384512924699865	4.617522179621136	8.58257087108029	
360	2.993302804195511	5836.783776203153	-0.1841306444915059	4.417457164351567	8.51078472197682	
375	1.6438882752189456	5895.107584032212	-0.15847715097983497	4.411736221014256	8.632583846456644	
400	2.715881975287365	5843.483399747298	-0.03287790073226332	4.374145252389367	8.69787391756822	
417	4.979187144634279	5819.20194736027	-0.1619963707528941	4.373830665676405	8.57430916267359	
489	6.473322497924009	5921.703550416241	-0.06897500510301667	4.429576235097837	8.885451370308106	
493	5.253877737231545	5929.850919749985	-0.04725572927925857	4.342901871791842	8.930990627252822	
514	4.116354793210034	5957.656659620042	-0.00324737623987896	4.442611737671845	8.967161519520266	
571	3.567989946291279	5962.0027293157755	-0.07041386940486395	4.400714659431355	8.818188457229567	
595	5.249751502407968	6046.437437601206	-0.1657323521601	4.377604140966392	8.799851065552053	
615	4.590933004001034	6052.5971422574885	-0.10996581225059723	4.345130844343521	8.881637645326476	
671	3.080766070426553	6018.756119856527	-0.030240836882422087	4.43441460242115	8.898425058813151	
703	2.1099648585706214	5947.999497684209	0.015842279683310874	4.654502598753078	8.864816979600382	
708	3.632764248029503	5946.004178835675	-0.05728888429919828	4.563776708162544	8.824680300217615	
709	1.8091229151840231	5871.104056390551	-0.021030646873681016	4.529537181249729	8.73683962037001	
739	1.6824735496367575	5662.015445682398	-0.08656049966188231	4.455823242818551	8.506036207905014	
756	1.2111165354668931	5610.815682494742	-0.14759646900663304	4.49980536492974	8.405002046240787	
764	0.5437728556649901	5535.358860797721	-0.12440682741206066	4.479996151871379	9.008318187598455	
859	1.2366481651892371	5575.215827010247	0.06948157693370893	4.42474750596669	8.58467664721636	
907	0.6623446300363727	5475.348906960039	-0.026021036648533433	4.486480084143283	8.647994949967877	
