Iteration_step	age	teff_primary	feh	Pdisk	logQ	
2	3.051102113289542	6282.348615230198	-0.11812510421031423	4.6311047011930455	8.326383596089864	
3	3.513971278539344	6126.0465855315015	-0.0680828615544849	4.708824103359183	8.164194726494472	
4	3.428240178585997	6343.988226374984	-0.1515645467033296	4.65446566890511	9.055343304912217	
5	2.8576122758430187	6436.935611580152	-0.1852162537230299	4.6087182630819745	9.04002422522804	
6	3.380941029875684	6259.298585924731	-0.20433513667191455	4.584873988995371	9.508364824434663	
7	2.6293916966530553	6337.8745316387085	-0.162738805704225	4.676266425615997	8.267305834681045	
8	4.804452560407661	6265.078860272834	-0.18125529694313258	4.6669266216221175	9.150998591178437	
9	0.034726135652898726	6371.222882504291	-0.19991957705588337	4.581679829514315	8.170263028218582	
