Iteration_step	age	teff_primary	feh	Pdisk	logQ	
99	3.1761898745175903	5704.925138740227	0.014499096622088724	4.318101860566326	8.762846681903282	8.256136098180724	253.84481811523438
100	7.746659841311069	5878.152362074023	-0.017857368784711423	4.2976398874995505	8.42219931990252	5.266382548088319	648.2013370990753
101	1.436698848392696	5718.484091322702	-0.15091611093360743	4.469732530091839	8.613194548839429	8.412070638735603	143.23316979408264
102	5.03919969520812	5776.201068561209	0.25877065029475577	4.441093680639807	8.661162663513037	5.408479182647285	426.8805615901947
103	3.0603412094503586	5818.143997870193	-0.028306855803191377	4.440931565715809	8.867397734435922	8.611224403354889	246.25831651687622
105	1.0021792398901361	5708.398564905643	0.050107939271629987	4.501604709022052	8.738136949621776	7.724242815204429	97.93167352676392
107	3.7960209630733877	6034.626069289952	0.10863927060548183	4.461137224352251	9.30296064327856	8.63931728310883	300.0378210544586
108	6.022634134755361	5872.585342073722	-0.00045929267541146984	4.476703352802198	9.107072730490165	8.638688560757123	440.8050136566162
109	3.427194766795684	6097.822185940633	-0.013949063379250077	4.555488264054585	8.799580792723958	6.307845525663209	278.5230042934418
112	6.498679306185068	5838.192059180216	-0.18348477748505423	4.405242724348864	9.04679231191066	10.017279711206786	478.9064121246338
113	2.512791212686377	6030.044439750064	-0.10211882907635385	4.618772402576109	9.054650841417152	9.239073405673906	210.31020617485046
114	1.4631833260332985	6138.522656827875	-0.04742023533570832	4.467562705039587	9.131491419968347	8.293853758360852	134.8284306526184
115	5.777409965424544	5828.416551426703	-0.07730620680719934	4.33305924462698	8.991118112362958	8.993307432607969	420.41473960876465
116	1.4954206264099383	6136.345450789536	0.27244582309568255	4.491289054695608	8.916498844678676	nan	420.41473960876465
117	6.433658642884427	6182.122964043949	-0.11625735135888735	4.4851713972387985	8.951898773028304	nan	420.41473960876465
118	5.975849335772206	5961.359194035985	0.16693217464970567	4.3294796071710655	8.691997005354757	nan	420.41473960876465
119	2.4874977584706057	6066.085821308517	-0.014440259404155553	4.353793473219988	9.019676691470487	8.1356275465131	208.29243564605713
120	2.2958107157357137	6054.442056582321	-0.09387017127777803	4.508643997830638	9.320608816777794	10.93495837728882	190.48218369483948
121	5.857261132409249	6153.7686715086065	-0.03474414172632915	4.3523770096999215	8.692437460915027	nan	190.48218369483948
122	5.0682551326548175	6094.511798743371	-0.01062697788381585	4.477230802961983	9.097527539509606	5.455243103889861	413.46408462524414
123	-0.7702382496167948	6031.779960442853	-0.1710564694211207	4.502894068592525	9.087443028129144	5.455243103889861	413.46408462524414
124	2.761737572610926	6326.317586161332	0.1093857922335109	4.372443495006152	8.769964327933641	nan	413.46408462524414
125	2.268668756563869	5953.143663027243	-0.1472762193175734	4.62206160770478	8.993759416092765	9.684020969739615	188.82239723205566
126	2.502764895051854	6025.709093326664	-0.034468084437837755	4.487662630189462	9.21371312030582	9.880349888090212	202.63628315925598
