Iteration_step	age	teff_primary	feh	Pdisk	logQ	
2	8.670236094445233	5982.20403708504	-0.24506865860610227	4.604663519262348	10.378799126310618	24.26506696402097
4	6.682091367816904	5831.369812177245	-0.20668478594574308	4.568016338211304	10.064022269190342	23.196307421180112
5	4.1731048194873175	6371.335514418895	-0.2685063380490326	4.547757155286999	10.251314607269407	17.15724983600684
10	4.990722504886932	6537.809415031472	0.030458797313925007	4.7381608134099995	9.615146093631754	nan
11	1.9401956930434385	6556.443795960423	0.01724905850445642	4.693534693972233	9.717824037381261	nan
12	4.406083427289151	6408.770570876507	-0.31495248380823604	4.689892610298949	9.634546441511418	10.990710856879065
13	3.364056110724446	6353.0231856208275	-0.12957814575849075	4.765996004995677	9.579112429749674	9.940189298424631
14	1.6878820744835603	6525.8373836841	-0.09347401818320593	4.676985592179474	9.672199371861563	nan
15	-0.36945930003513716	6467.619030485432	-0.07758057463994632	4.727429424316752	9.89739991650656	nan
16	-0.4807404272263991	6360.6841774514105	0.05865959857085598	4.6239529444341665	9.93985256756539	nan
17	-0.807259465666911	6505.832991543085	-0.0846929983915575	4.619894127842116	9.783573899415977	nan
18	-2.3389642598256697	6371.60685146854	-0.05805443476503938	4.614373699524412	9.317640369772686	nan
19	-0.9289996551602244	6365.695916344387	-0.1297236691259701	4.602967671578343	9.489363704701802	nan
20	0.4342188978147228	6451.516224409986	-0.02541261382171045	4.732531912846772	9.789540833411092	nan
21	1.8676038241819914	6382.866171348069	-0.15518224342002263	4.751132022335393	9.721380378894345	8.866069322441989
22	2.5613456459479207	6312.701592048448	-0.16320916520136738	4.754590812917406	9.605611811403637	11.173840298181545
23	0.09068216498049209	6501.0769612517315	0.21282190006815813	4.6900359285061715	9.775137177555209	nan
24	3.2901315506741433	6331.104946100763	0.07077586996831639	4.714394115570433	10.097424771769216	nan
25	2.3870388068204615	6466.4962849994645	-0.1515497763191167	4.712734918513272	9.758137737029502	8.327087942013085
26	-2.631426493289123	6356.102547132407	0.223019570182608	4.902874908757186	9.813969967705887	8.327087942013085
27	1.937774613875888	6358.581899412665	-0.030648131917364034	4.784804685894337	9.63190996237631	nan
28	5.667453797204134	6269.051963942509	0.06689741282101672	4.599969470429286	9.512640031126605	nan
29	0.6393860132522964	6190.337646407708	-0.009606478676744856	4.608176462069032	9.70525534981191	4.490989139801369
30	-0.06727477028019635	6343.291048551609	0.032429197070392185	4.482458092062954	9.474737081401397	4.490989139801369
31	5.210530844243791	6413.373544806929	-0.23954035976112112	4.798335791970508	9.839774718887995	nan
32	1.6010815586951939	6540.364226878004	-0.15369176622410724	4.699863825935944	9.260756018284876	nan
33	0.21110744917868352	6541.139722836861	-0.16307591160479928	4.684987872149798	9.443316694376973	nan
34	5.753514376283146	6474.589277186761	-0.1274810230547582	4.676149778695382	9.786352841386977	nan
35	-0.6579228622948574	6436.941218604698	-0.126766637869444	4.766131983693641	9.749989071193847	nan
36	-0.5320446831518337	6310.464507421147	-0.15028479261407074	4.755280333529721	9.664413684677392	nan
37	2.434945557853829	6606.213923645107	-0.005954981211888755	4.7152042715095535	9.780279642168196	nan
38	0.5934257072999245	6389.978170066246	-0.061991579765448515	4.56230891164405	9.445862416371272	nan
39	0.8686023501808438	6440.553566911351	0.0006238135321181282	4.913187320863039	9.39433408434382	nan
40	1.323073899415975	6304.313251356062	0.026428056294393737	4.706003313830776	9.79342854675289	nan
41	4.112981215383082	6544.799335679597	-0.07499347666133759	4.816241027640576	9.664908610454072	nan
42	4.531150153777688	6587.219499701609	-0.16698720441694656	4.810205261762821	9.62934570841488	nan
43	5.17787697299306	6515.543429794234	-0.1595288188466811	4.545168115602004	9.641370388510378	nan
44	1.0384313429888146	6425.6852652766165	-0.1783552383977723	4.7002837676210465	9.277876104497357	5.033980643536187
45	3.242670141745391	6450.826126029178	0.044578639480807036	4.541757463359494	9.77406132925519	nan
46	2.5773497750996133	6370.325585620943	-0.1098827447200576	4.817445546149119	9.677774053701834	10.119329371975038
47	3.6661309737254353	6458.5949371257275	0.022326342197855564	4.619115340580775	9.74249568823311	nan
48	4.60583072231926	6351.667283577233	-0.008450650942996046	4.6488890840229	9.389800780673504	nan
