0	KIC	teff	teff_e	feh	feh_e	Porb	Porb_e	e	e_e	logg	logg_e	Pspin	Pspin_e	q	mass	age	feh
57	6965293	6174.0	166.0	-0.26	0.3	5.078	0.0000109	0.033	0.01	4.235	0.186	5.069	0.29100000000000037	0.9175	1.0180112689306413	4.918032021197184	-0.26711941648481496
59	7049486	5957.0	196.0	-0.42	0.3	26.718	0.0001193	0.0146	0.01	4.168	0.3	8.797	0.30599999999999916	0.7506	0.9279771583696124	6.165177688836967	-0.33507755914838644
62	7177553	5684.0	190.0	-0.28	0.3	17.996	0.0000673	0.014	0.01	3.788	0.656	11.841	0.22800000000000153	0.9152	0.9082308683862605	7.448318702296958	-0.206747846850317
63	7200102	5385.0	160.0	0.08	0.25	14.666	0.0000506	0.363	0.001	4.369	0.162	6.595	0.12100000000000044	0.6268	0.9662234561270312	6.932230028668127	0.14838205602448748
65	7684873	8090.0	226.0	-0.14	0.25	2.947	0.0000050	0.056	0.01	4.002	0.198	5.695	0.24099999999999966	0.4768	1.1868008986999312	2.192039827849057	-0.8851438980496636
67	7846730	6271.0	199.0	-0.1	0.25	11.028	0.0000332	0.0405	0.01	4.199	0.19	13.713	0.4660000000000011	0.8263	1.0803563623748549	4.45798515468177	-0.21523052437085785
68	7877824	5754.0	160.0	0.07	0.25	9.449	0.0000340	0.206	0.001	4.534	0.033	8.701	0.08699999999999974	0.9466	0.9477312628117103	1.905670005694335	-0.0982540065089654
69	7950775	6480.0	146.0	-0.36	0.25	8.967	0.0000249	0.218	0.001	4.351	0.092	7.98	0.25900000000000034	0.6908	1.0508356057306258	3.292200956527532	-0.41964393348786416
70	7987749	5575.0	167.0	-0.26	0.3	17.031	0.0000629	0.142	0.001	4.066	0.476	17.545	0.4499999999999993	0.7188	0.9026069054396175	5.973003053398489	-0.1457467700777285
73	8098300	6502.0	146.0	-0.4	0.25	4.306	0.0000086	0.035	0.01	4.44	0.052	4.306	0.0259999999999998	0.8539	1.022193732085151	1.936233718547847	-0.5085339379604049
76	8296467	5497.0	166.0	-0.28	0.3	10.303	0.0000306	0.278	0.001	4.423	0.149	9.242	0.23499999999999943	0.8642	0.8615244099296813	6.389631346187758	-0.17132517432364952
77	8301013	6604.0	155.0	-0.12	0.25	4.428	0.0000089	0.076	0.01	4.178	0.162	4.245	0.06899999999999995	0.9505	1.1228565139226683	3.2068312667091807	-0.3360880922651577
78	8316503	6350.0	170.0	-0.34	0.3	5.065	0.0000110	0.12	0.001	4.233	0.185	5.066	0.09200000000000053	0.4841	1.0179916294974993	4.075433784297407	-0.40334690551627317
79	8356054	5431.0	189.0	-0.5	0.3	17.081	0.0000795	0.219	0.001	4.623	0.035	16.708	2.344000000000001	0.6979	0.7434448475545768	5.372540635221831	-0.5539170225677931
80	8364119	5623.0	152.0	-0.4	0.3	7.736	0.0000200	0.02	0.01	4.596	0.036	8.954	0.22100000000000009	0.9184	0.7929824323229073	4.251777733215329	-0.5069644626984782
81	8374499	6099.0	164.0	-0.28	0.3	5.252	0.0000116	0.044	0.01	4.511	0.05	6.044	0.22500000000000053	0.4958	0.9269339639543857	2.7967813325426034	-0.4321792662408602
