system	logq	pspin	porb	tidal_frequency	tidal_period	logtidal_frequency	logtidal_period	primary_mass	age	synchronized
85	8.466980031336467	13.57195543147128	9.992	-0.3317360229647094	-18.94031661387585	-0.4792073662093448	1.2773872345674597	0.9850069777635193	6.025987613620758	None
73	8.006006006006006	4.332	4.306	-0.017515427375774717	-358.72292307692993	-1.7565792614478453	2.5547591298059604	1.022193732085151	1.936233718547847	True
76	7.243674367436744	9.24008639283695	10.303	0.14030336889509876	44.7828541585296	-0.8529319007821474	1.6511117691402624	0.8615244099296813	6.389631346187758	None
96	8.7002700270027	23.846721013448857	14.2	-0.35799137840056905	-17.551219627834474	-0.4461274324570902	1.2443073008152052	0.9909114025933997	6.648065754068082	None
92	8.008008008008009	3.828	3.844	0.013663895709427276	459.8385000000082	-1.8644254614233005	2.6626053297814156	0.9105790482433724	6.776420157197241	True
81	7.90945761242791	6.043687581900189	5.252	-0.31342740954698334	-20.046700179352776	-0.5038630267107893	1.3020428950689045	0.9269339639543857	2.7967813325426034	None
80	7.591025769243592	8.953439395749463	7.736	-0.22087718353324304	-28.44651134477155	-0.6558491441439178	1.4540290125020328	0.7929824323229073	4.251777733215329	None
36	7.89018901890189	10.952249821314862	8.929	-0.25998794438811546	-24.167217914534973	-0.5850467897488152	1.3832266581069304	0.8602078855296699	4.330667232711332	None
93	7.33933933933934	9.801	10.187	0.04858256868513333	129.33003497409337	-1.3135195266595991	2.1116993950177143	0.9334253682189363	5.580248669601537	True
83	7.062106210621062	8.601860282586182	7.549	-0.203750553614356	-30.837635509309756	-0.6909012025569022	1.4890810709150173	0.666011782150372	6.014788039112349	None
84	7.84998499849985	38.88055838412855	22.47	-0.23604654971274164	-26.61841621843636	-0.6270023432592824	1.4251822116173976	0.7135033131732759	5.7743893376211854	None
94	7.350601726839351	5.836574843192896	5.749	-0.032797358333532145	-191.57595691954353	-1.4841611351716109	2.282341003529726	0.802462794050237	4.694880649876551	True
32	8.184944810270501	10.109321397029703	9.584	-0.06813435446970284	-92.2175803393502	-1.1666338543934747	1.9648137227515896	0.9833964875572018	6.379182633926793	None
79	6.678678678678679	16.708	17.081	0.016424075642640923	382.5594477211794	-1.7845190634483572	2.582698931806472	0.7434448475545768	5.372540635221831	True
106	7.537353735373538	25.891156659572992	18.077	-0.20980419485001428	-29.947853576861686	-0.67818583272015	1.476365701078265	0.8285159441505281	6.085326138418849	None
123	8.571523819048572	14.750277807040973	11.703	-0.22183215992908345	-28.324050530762673	-0.6539754921486615	1.4521553605067765	0.992508658297196	1.9739327434083016	None
50	7.912075418068123	12.296044456842063	9.88	-0.24991505330028163	-25.141283905096028	-0.6022075839361669	1.400387452294282	0.9412350807366774	2.389300549167837	None
47	6.515451545154516	18.32755475880881	20.149	0.061982338974098994	101.37057444387806	-1.2077320391909918	2.0059119075491068	0.9205945127540156	6.703065320615012	True
39	8.442465299161494	14.577589919240504	10.739	-0.30812860029406264	-20.3914381890653	-0.5112679888838962	1.3094478572420112	0.9844680890552664	5.9280720182921405	None
56	7.067386738673867	6.9335926677923645	7.841	0.2097405343387828	29.95694335855314	-0.6783176299137822	1.4764974982718972	0.8650037801703908	2.7040938283999503	None
126	7.6640997433076645	15.631141523658787	18.526	0.12562175196734404	50.016698611343436	-0.9009351540584838	1.6991150224165987	0.9670940977401419	3.2953426078079895	None
54	7.125744153362705	8.028230146216547	9.122	0.18768342985515507	33.477570779842644	-0.7265740685621095	1.5247539369202245	1.024563030621552	4.049835253026934	None
109	7.203720372037203	24.829970819786407	24.847	0.00034685937431233604	18114.503376581004	-3.4598465636493736	4.2580264320074885	0.8779954845763914	3.5823332133058545	True
44	7.9051683262209576	6.055	6.092	0.01260484605526413	498.47378378378176	-1.899462454053983	2.697642322412098	0.8472416651840867	6.507004718641423	True
48	8.216848427374744	6.813	7.217	0.103251444189288	60.85324381188119	-0.9861038651044698	1.784283733462585	0.9609697627982433	5.817115352585852	True
17	8.008008008008009	4.218	4.321	0.07101600656376261	88.47562135922342	-1.1486437529874298	1.946823621345545	1.0167021828325085	4.3427981942174645	True
70	7.378937893789379	17.54479104805255	17.031	-0.02160767544270059	-290.7848798377867	-1.66539195207601	2.463571820434125	0.9026069054396175	5.973003053398489	None
8	7.237923792379238	26.511989758787195	30.477	0.061665128247599454	101.89203340259303	-1.2099603609422576	2.0081402293003725	0.9587476829728673	7.331411799757448	True
12	6.342034203420342	29.311040396511334	33.693	0.05575801669953567	112.68667142588502	-1.2536926823950938	2.0518725507532087	0.9124086519719712	6.250860504317274	True
88	8.249624962496249	12.478210942909815	10.135	-0.23283334354963836	-26.98576248311298	-0.6329548252134067	1.4311346935715217	0.9390077245290988	6.54970566905419	None
67	8.598859885988599	13.712447099519473	11.028	-0.22307607344574965	-28.166110377174125	-0.6515470085047181	1.449726876862833	1.0803563623748549	4.45798515468177	None
20	6.954954954954955	10.188	10.644	0.05284220170884857	118.90468421052657	-1.2770190954843985	2.0751989638425137	0.7169167842048034	6.8969538278538485	True
95	7.653165316531654	12.989125032852222	11.083	-0.16638877270905195	-37.76207495782416	-0.7788759816210593	1.5770558499791743	0.9593505501443018	2.8437437056283117	None
31	8.533270112217481	3.453	3.457	0.004210890008272461	1492.127624999945	-2.3756261025417866	3.1738059708999016	1.1029196775371206	3.5005895545597925	True
25	7.6483648364836485	10.295851877308456	8.817	-0.2047158242417666	-30.692230707867655	-0.6888485856947975	1.4870284540529124	0.777759227528392	4.035499446704708	None
