Iteration_step	Porb	eccentricity	Wdisk	logQ	primary_mass	age	feh	secondary_mass	posterior_probability	acceptance_ratio	inital_orbital_period	initial_eccentricity	current_orbital_period	current_eccentricity	current_spin	delta_e	delta_p	bad_solution_flag	gsl_flag	
1	9.122	0.252	4.1	7.125744153362705	1.024563030621552	4.049835253026934	-0.050893971247255754	0.7884012520632843	433.44995078198326	0.0	9.466590171665628	0.2859287412305069	9.121999999674225	0.25199999998268807	7.95847959744721	-3.2577496256180893e-10	-1.731192966758499e-11	False	False
98	9.122000990522514	0.25188226566467115	3.2624121846216685	7.066330657013008	0.9903553140190375	5.1101128043162465	-0.03893098019525406	0.7620784141376493	1638.7159217024969	3.7806346932237593	9.646700895375867	0.2982175046138881	9.122000990649248	0.2518822656807018	7.962196228370021	1.2673417870701087e-10	1.603067678601633e-11	False	False	False
115	9.121995644986104	0.25204966509061133	2.705248754100705	7.155484678460267	1.038879485253335	0.747110658234128	-0.02670701346599992	0.7994177639024412	1831.9629241931575	1.1179258710624427	9.101890146128257	0.2540741964163657	9.121997750624727	0.2520497666935559	8.030918835962616	2.105638623461914e-06	1.0160294455774377e-07	False	False	False
195	9.122040960593296	0.2516043153360307	2.8880195216506133	7.130690898044772	1.0626001800170297	1.9311898780741061	-0.04556791363144072	0.8176708385231043	345.7302893379555	0.18872122616249115	9.21241774204889	0.26521488844186747	9.122040960466528	0.2516043153358745	8.213762087839196	-1.2676792948695947e-10	-1.5620837956475953e-13	False	False	False
218	9.122040475982416	0.2510973373141035	2.501616589280524	7.200380969947501	1.1144410254976664	3.150311456046137	0.27751835165248595	0.8575623691204542	640.8486865156387	1.8536087414927114	9.336464295866945	0.2753789035693844	9.122040477417041	0.2510973374011185	7.992895584728132	1.434624863350109e-09	8.701500631147496e-11	False	False	False
245	9.122027009363302	0.252315296624142	1.8455157456218378	7.456379623171487	1.0538410105119684	7.287688939297547	0.15958156858381484	0.8109306575889597	89.2627514040969	0.13928834260303755	9.582943148187182	0.2913642724833003	9.122027727062397	0.25231535124720345	8.55262863436312	7.176990948210005e-07	5.462306146286622e-08	False	False	False
246	9.122026838731594	0.2530478102182607	1.9405220490432813	7.451685593960644	1.0811529300220741	5.688865659476773	0.041455602064585886	0.8319471796519861	599.6183463724848	6.717453102671939	9.517143614524972	0.288100209183031	9.122026838734868	0.25304781020697253	7.880351710226572	3.2738256550146616e-12	-1.1288192602876279e-11	False	False	False
253	9.122055143770918	0.25272027149528414	3.1925994502186477	7.3438741362889735	1.0540088054845334	6.451926782528978	0.08763939861963112	0.8110597758203484	79.14078558496723	0.131985263732749	9.645597328630076	0.2974494976516927	9.122045364516032	0.25267631484235276	7.785705471356253	-9.779254886765898e-06	-4.3956652931387286e-05	False	False	False
268	9.122021383204384	0.2523111203010623	3.130619561572279	7.406676942462945	1.0738433015304996	5.306705437091603	0.10446541946500393	0.8263224205277194	145.46360794133722	1.8380359364156726	9.450694965156357	0.2828174636579982	9.122021430554478	0.252311122531185	8.478654902254187	4.7350093623776957e-08	2.2301226976217947e-09	False	False	False
274	9.121979223199043	0.25065460176929466	2.4728477421705897	7.277375880682556	1.0740415471351354	0.6665577499150221	0.023530831473470508	0.8264749705204867	139.34235251151395	0.9579189907602742	9.09490189192153	0.2515999795563083	9.121979223382963	0.2506546017678221	7.66859433285448	1.8392043443782313e-10	-1.4725443087115764e-12	False	False	False
