 1026032	   8.460	 10.932	10.778	11.162
 1026957	  21.761	 20.883	20.358	21.802
 1161345	   8.575	  7.969	 7.994	 8.227
 1432214	 161.788	161.670	      	
 1433410	   0.283	       	      	
 1433980	   1.593	       	      	
 1571511	  14.022	 98.858	      	
 1575690	   2.252	  2.248	 2.243	 2.256
 1722276	 569.950	  1.921	 2.100	 2.105
 1868650	   0.585	       	      	
 1873513	   3.290	 35.186	      	
 1995732	  77.363	 77.178	      	
 2019076	   7.129	  8.623	 8.188	 8.325
 2141697	   0.331	       	      	
 2159783	   0.374	       	      	
 2161623	   2.283	       	      	
 2162994	   4.102	  4.066	 4.054	 4.108
 2166200	   8.097	 55.130	      	
 2167890	   2.648	  2.616	 2.560	 2.677
 2305372	   1.405	       	      	
 2305543	   1.362	  1.349	 1.339	 1.352
 2306740	  10.307	  0.695	 0.733	 0.734
 2306756	 386.600	179.571	      	
 2307199	  13.447	 13.650	      	
 2307206	 204.031	101.657	      	
 2308957	   2.220	       	      	
 2309587	   1.839	  1.839	      	
 2309719	  54.356	 11.116	11.015	12.718
 2436378	   8.532	 13.507	      	
 2437060	   3.187	  3.188	      	
 2437149	  18.799	 15.162	      	
 2437452	  14.470	 19.024	      	
 2437505	  21.476	  4.945	      	
 2438061	   4.886	  4.741	 4.709	 4.738
 2438490	   3.316	  3.269	 3.194	 3.307
 2440757	   1.434	  2.861	      	
 2441161	   4.384	  4.332	      	
 2442084	  49.789	 22.579	21.614	22.647
 2444187	   0.390	       	      	
 2445134	   8.412	  8.153	      	
 2445975	   3.389	  1.124	      	
 2446623	 175.066	174.707	      	
 2447893	   0.662	  0.654	 0.659	 0.660
 2449084	   0.740	       	      	
 2449090	   4.944	  4.924	 4.885	 4.979
 2452440	   8.097	  9.420	 9.267	 9.856
 2556127	   0.419	       	      	
 2557430	   1.298	  1.308	      	
 2558370	   1.092	  1.083	 1.091	 1.093
 2569494	   1.523	  1.512	      	
 2576107	 205.583	 81.121	      	
 2576692	  87.879	177.017	      	
 2577756	   0.870	       	      	
 2580872	  15.927	 14.344	14.077	15.031
 2693092	  39.842	 79.282	      	
 2695740	   3.616	       	      	
 2696703	   6.094	       	      	
 2708156	   1.891	       	      	
 2708614	  52.886	  1.165	      	
 2711114	   2.859	  2.840	 2.831	 2.850
 2715417	   0.236	       	      	
 2717141	   0.395	       	      	
 2719436	   0.743	       	      	
 2719873	  17.279	 28.096	26.204	29.867
 2720354	   2.821	       	      	
 2831632	   2.573	       	      	
 2835289	   0.858	       	      	
 2851100	   0.890	 40.418	      	
 2852560	  11.961	  7.581	 7.152	 7.629
 2854432	   0.322	       	      	
 2854948	   0.974	  0.981	 0.971	 0.976
 2860594	   5.500	       	      	
 2860788	   5.260	  5.088	 4.996	 5.080
 2970804	   0.687	 30.896	      	
 2972514	   0.503	       	      	
 2973509	   6.628	  6.069	      	
 2983113	   0.395	       	      	
 2987433	 420.930	 28.362	      	
 2988984	   0.713	       	      	
 2996347	   0.301	       	      	
 2997455	   1.130	  1.124	 1.127	 1.131
 2998124	  28.598	 56.785	      	
 3003991	   7.245	  9.563	      	
 3097352	   4.030	 27.871	 3.957	 3.989
 3098194	  30.477	 29.731	26.521	33.270
 3102000	  57.060	 14.733	13.998	15.483
 3102024	  13.783	  4.884	      	
 3104113	   0.847	       	      	
 3113266	   0.996	  0.981	      	
 3114667	   0.889	  0.879	      	
 3115480	   3.694	  3.617	      	
 3119295	   0.440	       	      	
 3120320	  10.266	 13.261	12.473	13.670
 3122985	   0.993	  1.471	 1.453	 1.465
 3124420	   0.949	       	      	
 3127817	   4.327	       	      	
 3127873	   0.672	       	      	
 3128793	  24.679	 66.307	      	
 3218683	   0.772	       	      	
 3221207	   0.474	       	      	
 3222471	 618.420	 28.260	25.369	29.268
 3228863	   0.731	       	      	
 3230578	   6.338	       	      	
 3230787	  17.734	 12.158	11.873	12.962
 3231120	   3.900	  3.821	 3.800	 3.836
 3240159	  82.138	 82.286	      	
 3240706	   5.490	 61.648	      	
 3241344	   3.913	  3.944	 3.937	 3.951
 3241619	   1.703	  1.676	      	
 3247294	  67.419	 32.019	      	
 3248019	   2.668	  2.615	 2.610	 2.638
 3248332	   7.364	       	      	
 3323289	  33.693	 38.252	29.317	37.388
 3327980	   4.231	       	      	
 3335816	   7.422	  8.153	      	
 3338660	   1.873	       	      	
 3339538	  14.658	 13.915	13.565	14.460
 3339563	   0.841	       	      	
 3340313	  30.554	 30.548	      	
 3341934	  18.839	 93.504	      	
 3342592	  17.177	 85.862	      	
 3344427	   0.652	  0.654	 0.651	 0.652
 3345675	 120.004	 38.497	      	
 3347485	   7.545	       	      	
 3348093	   7.964	  8.235	 8.185	 8.457
 3351945	   1.081	  1.083	 1.078	 1.084
 3352751	   3.495	       	      	
 3354616	   0.277	 13.588	13.440	13.987
 3427776	   4.017	  4.025	      	
 3428468	 114.909	113.039	      	
 3433668	  15.022	  8.827	 8.624	 9.103
 3437778	   0.636	       	      	
 3438975	   2.976	169.211	      	
